Ticker,Stock or ETF,Exchange (Blank if etf)
CSCO,Stock,NASDAQ
CSX,Stock,NASDAQ
CTM,Stock,NYSEAMERICAN
CTRA,Stock,NYSE
CVS,Stock,NYSE
CVX,Stock,NYSE
CWCO,Stock,NASDAQ
CYBR,Stock,
CYTK,Stock,NASDAQ
D,Stock,NYSE
DAT,ETF,
DD,Stock,NYSE
DDD,Stock,NYSE
DDOG,Stock,NASDAQ
DE,Stock,NYSE
DECK,Stock,NYSE
DEO,Stock,NYSE
DFEN,ETF,
DGII,Stock,NASDAQ
DGRO,ETF,
DGX,Stock,NYSE
DHI,Stock,NYSE
DHR,Stock,NYSE
DIA,ETF,
DINO,Stock,NYSE
DIS,Stock,NYSE
DLR,Stock,NYSE
DLTR,Stock,NASDAQ
DNA,Stock,NYSE
DOC,Stock,NYSE
DOW,Stock,NYSE
DOX,Stock,NASDAQ
DRNE,Stock,
DRS,Stock,NASDAQ
DT,Stock,NYSE
DTCR,ETF,
DUK,Stock,NYSE
DUOL,Stock,NASDAQ
DVN,Stock,NYSE
DYN,Stock,NASDAQ
EAF,Stock,NYSE
EH,Stock,NASDAQ
EIDO,ETF,
EIS,ETF,
EIX,Stock,NYSE
EL,Stock,NYSE
ELV,Stock,NYSE
EMB,ETF,
EMN,Stock,NYSE
EMOTF,Stock,
EMR,Stock,NYSE
ENPH,Stock,NASDAQ
ENVX,Stock,NASDAQ
EOG,Stock,NYSE
EOSE,Stock,NASDAQ
EPD,Stock,NYSE
EPI,ETF,
EQIX,Stock,NASDAQ
EQNR,Stock,NYSE
EQT,Stock,NYSE
ERII,Stock,NASDAQ
ERJ,Stock,
ESI,Stock,NYSE
ESTC,Stock,NYSE
ET,Stock,NYSE
ETHD,ETF,
ETN,Stock,NYSE
EVEX,Stock,NYSE
EVGO,Stock,NASDAQ
EW,Stock,NYSE
EWC,ETF,
EWJ,ETF,
EWM,ETF,
EWT,ETF,
EWTX,Stock,NASDAQ
EWW,ETF,
EWY,ETF,
EWZ,ETF,
EXAS,Stock,NASDAQ
EXEL,Stock,NASDAQ
EXPI,Stock,NASDAQ
EZA,ETF,
F,Stock,NYSE
FANG,Stock,NASDAQ
FANUY,Stock,
FARO,Stock,
FAST,Stock,NASDAQ
FATE,Stock,NASDAQ
FBTC,ETF,
FCEL,Stock,NASDAQ
FCX,Stock,NYSE
FERG,Stock,NYSE
FETH,ETF,
FICO,Stock,NYSE
FIG,Stock,NYSE
FIP,Stock,NASDAQ
FIS,Stock,NYSE
FISV,Stock,NASDAQ
FLAU,ETF,
FLNC,Stock,NASDAQ
FLO,Stock,NYSE
FLSA,ETF,
FMET,ETF,
FOUR,Stock,NYSE
FROG,Stock,NASDAQ
FSLR,Stock,NASDAQ
FSLY,Stock,NASDAQ
FTML,ETF,
FTNT,Stock,NASDAQ
FTV,Stock,NYSE
FUBO,Stock,NYSE
FXI,ETF,
FXY,ETF,
GAMB,Stock,NASDAQ
GBDC,Stock,NASDAQ
GD,Stock,NYSE
GDRX,Stock,NASDAQ
GDX,ETF,
GDXY,ETF,
GE,Stock,NYSE
GENI,Stock,NYSE
GEV,Stock,NYSE
GFS,Stock,NASDAQ
GGAL,Stock,NASDAQ
GH,Stock,NASDAQ
GILD,Stock,NASDAQ
GILT,Stock,NASDAQ
GIS,Stock,NYSE
GLCR,ETF,
GLD,ETF,
GLW,Stock,NYSE
GLXY,Stock,NASDAQ
GM,Stock,NYSE
GMAB,Stock,NASDAQ
GNTX,Stock,NASDAQ
GOOGL,Stock,NASDAQ
GOP,ETF,
GPN,Stock,NYSE
GPRE,Stock,NASDAQ
GPUS,Stock,NYSEAMERICAN
GRBK,Stock,NYSE
GS,Stock,NYSE
GSAT,Stock,NASDAQ
GTLB,Stock,NASDAQ
HAL,Stock,NYSE
HALO,Stock,NASDAQ
HBAN,Stock,NASDAQ
HCA,Stock,NYSE
HCAT,Stock,NASDAQ
HD,Stock,NYSE
HEI,Stock,NYSE
HES,Stock,
HIMS,Stock,NYSE
HIMX,Stock,NASDAQ
HIVE,Stock,NASDAQ
HL,Stock,NYSE
HMC,Stock,NYSE
HON,Stock,NASDAQ
HOOD,Stock,NASDAQ
HOVR,Stock,NASDAQ
HPQ,Stock,NYSE
HRL,Stock,NYSE
HSAI,Stock,NASDAQ
HSBC,Stock,NYSE
HTGC,Stock,NYSE
HUBS,Stock,NYSE
HUM,Stock,NYSE
HUMA,Stock,NASDAQ
HUMN,ETF,
HUN,Stock,NYSE
HUT,Stock,NASDAQ
HXGBY,Stock,
HYDR,ETF,
HYFM,Stock,NASDAQ
HYG,ETF,
HYMTF,Stock,
HYSR,Stock,
IAU,ETF,
IBB,ETF,
IBM,Stock,NYSE
IBOT,ETF,
ICE,Stock,NYSE
ICLN,ETF,
IDCC,Stock,NASDAQ
IDXX,Stock,NASDAQ
IDYA,Stock,NASDAQ
IEF,ETF,
IEUR,ETF,
IFF,Stock,NYSE
IFNNY,Stock,
IGV,ETF,
IHF,ETF,
IHI,ETF,
ILIT,ETF,
ILMN,Stock,NASDAQ
IMMR,Stock,NASDAQ
IMNM,Stock,NASDAQ
INCY,Stock,NASDAQ
INDA,ETF,
INDI,Stock,NASDAQ
INFY,Stock,NYSE
INOD,Stock,NASDAQ
INSM,Stock,NASDAQ
INTC,Stock,NASDAQ
INTU,Stock,NASDAQ
INVH,Stock,NYSE
INVZ,Stock,NASDAQ
IONQ,Stock,NYSE
IONZ,ETF,
IOT,Stock,NYSE
IPGP,Stock,NASDAQ
IQV,Stock,NYSE
IRD,Stock,NASDAQ
IRDM,Stock,NASDAQ
IREN,Stock,NASDAQ
IRS,Stock,NYSE
ISRG,Stock,NASDAQ
ISRL,ETF,
IT,Stock,NYSE
ITA,ETF,
ITB,ETF,
ITRI,Stock,NASDAQ
ITW,Stock,NYSE
IWM,ETF,
IYH,ETF,
J,Stock,NYSE
JAZZ,Stock,NASDAQ
JBTM,Stock,NYSE
JD,Stock,NASDAQ
JEPI,ETF,
JEPQ,ETF,
JMIA,Stock,NYSE
JNJ,Stock,NYSE
JNPR,Stock,
JOBY,Stock,NYSE
JPM,Stock,NYSE
KDP,Stock,NASDAQ
KEY,Stock,NYSE
KEYS,Stock,NYSE
KHC,Stock,NASDAQ
KIGRY,Stock,
KLAC,Stock,NASDAQ
KMB,Stock,NASDAQ
KMI,Stock,NYSE
KMTUY,Stock,
KNG,ETF,
KO,Stock,NYSE
KOPN,Stock,NASDAQ
KR,Stock,NYSE
KRRO,Stock,NASDAQ
KSA,ETF,
KSCP,Stock,NASDAQ
KSPI,Stock,NASDAQ
KTOS,Stock,NASDAQ
KTWIY,Stock,
KVUE,Stock,NYSE
KWEB,ETF,
KYMR,Stock,NASDAQ
LAES,Stock,NASDAQ
LAR,Stock,NYSE
LASE,Stock,NASDAQ
LASR,Stock,NASDAQ
LAZR,Stock,
LCTX,Stock,NYSEAMERICAN
LDOS,Stock,NYSE
LECO,Stock,NASDAQ
LEN,Stock,NYSE
LHX,Stock,NYSE
LIN,Stock,NASDAQ
LIT,ETF,
LITE,Stock,NASDAQ
LKQ,Stock,NASDAQ
LLY,Stock,NYSE
LMND,Stock,NYSE
LMT,Stock,NYSE
LNC,Stock,NYSE
LNG,Stock,NYSE
LNSTY,Stock,
LOGI,Stock,NASDAQ
LOW,Stock,NYSE
LQDA,Stock,NASDAQ
LRCX,Stock,NASDAQ
LRNZ,ETF,
LSCC,Stock,NASDAQ
LTRX,Stock,NASDAQ
LULU,Stock,NASDAQ
LUNR,Stock,NASDAQ
LYB,Stock,NYSE
MA,Stock,NYSE
MANH,Stock,NASDAQ
MAR,Stock,NASDAQ
MARA,Stock,NASDAQ
MAS,Stock,NYSE
MBLY,Stock,NASDAQ
MCD,Stock,NYSE
MCHP,Stock,NASDAQ
MCO,Stock,NYSE
MDB,Stock,NASDAQ
MDGL,Stock,NASDAQ
MDT,Stock,NYSE
MELI,Stock,NASDAQ
MESO,Stock,NASDAQ
MET,Stock,NYSE
META,Stock,NASDAQ
MGA,Stock,NYSE
MGX,Stock,NASDAQ
MIELY,Stock,
MKSI,Stock,NASDAQ
MMM,Stock,NYSE
MMS,Stock,NYSE
MNRO,Stock,NASDAQ
MO,Stock,NYSE
MOB,Stock,NASDAQ
MOG.A,Stock,NYSE
MOH,Stock,NYSE
MPC,Stock,NYSE
MPWR,Stock,NASDAQ
MRCY,Stock,NASDAQ
MRK,Stock,NYSE
MRNA,Stock,NASDAQ
MRVL,Stock,NASDAQ
MS,Stock,NYSE
MSFT,Stock,NASDAQ
MSOS,ETF,
MSTY,ETF,
MT,Stock,NYSE
MTN,Stock,NYSE
MTSI,Stock,NASDAQ
MTSR,Stock,
MU,Stock,NASDAQ
MVIS,Stock,NASDAQ
MYNZ,Stock,NASDAQ
MYO,Stock,NYSEAMERICAN
NANC,ETF,
NATI,Stock,
NBIS,Stock,NASDAQ
NBIX,Stock,NASDAQ
NDSN,Stock,NASDAQ
NEE,Stock,NYSE
NEM,Stock,NYSE
NET,Stock,NYSE
NFLX,Stock,NASDAQ
NICE,Stock,NASDAQ
NINOY,Stock,
NIO,Stock,NYSE
NKE,Stock,NYSE
NLR,ETF,
NLY,Stock,NYSE
NNDM,Stock,NASDAQ
NNE,Stock,NASDAQ
NNOX,Stock,NASDAQ
NOC,Stock,NYSE
NOMD,Stock,NYSE
NOVT,Stock,NASDAQ
NOW,Stock,NYSE
NRIX,Stock,NASDAQ
NSC,Stock,NYSE
NSRGY,Stock,
NTAP,Stock,NASDAQ
NTDOY,Stock,
NTES,Stock,NASDAQ
NTLA,Stock,NASDAQ
NTNX,Stock,NASDAQ
NTRA,Stock,NASDAQ
NU,Stock,NYSE
NUE,Stock,NYSE
NVDA,Stock,NASDAQ
NVDQ,ETF,
NVDW,ETF,
NVDY,ETF,
NVO,Stock,NYSE
NVS,Stock,NYSE
NVTS,Stock,NASDAQ
NXPI,Stock,NASDAQ
NXT,Stock,NASDAQ
NXXT,Stock,NASDAQ
O,Stock,NYSE
OBDC,Stock,NYSE
OC,Stock,NYSE
ODFL,Stock,NASDAQ
OII,Stock,NYSE
OKE,Stock,NYSE
OKLO,Stock,NYSE
OLN,Stock,NYSE
OMAH,ETF,
OMCL,Stock,NASDAQ
ON,Stock,NASDAQ
ONB,Stock,NASDAQ
ONDS,Stock,NASDAQ
ONON,Stock,NYSE
ORA,Stock,NYSE
ORAN,Stock,
ORCL,Stock,NYSE
OSCR,Stock,NYSE
OTC:KYCCF,Stock,
OTC:TBIIF,Stock,
OTC:TOSCF,Stock,
OTIS,Stock,NYSE
OUST,Stock,NASDAQ
OVV,Stock,NYSE
OXY,Stock,NYSE
PACB,Stock,NASDAQ
PAHC,Stock,NASDAQ
PAM,Stock,NYSE
PANW,Stock,NASDAQ
PARRO,Stock,
PATH,Stock,NYSE
PAYX,Stock,NASDAQ
PBR,Stock,NYSE
PDD,Stock,NASDAQ
PDYN,Stock,NASDAQ
PEGA,Stock,NASDAQ
PEP,Stock,NASDAQ
PERF,Stock,NYSE
PEX,ETF,
PFE,Stock,NYSE
PG,Stock,NYSE
PGY,Stock,NASDAQ
PI,Stock,NASDAQ
PINS,Stock,NYSE
PL,Stock,NYSE
PLD,Stock,NYSE
PLSR,Stock,
PLTD,ETF,
PLTR,Stock,NASDAQ
PLTZ,ETF,
PM,Stock,NYSE
PNC,Stock,NYSE
POET,Stock,NASDAQ
PONY,Stock,NASDAQ
POOL,Stock,NASDAQ
POWW,Stock,NASDAQ
PPERY,Stock,
PPG,Stock,NYSE
PRAX,Stock,NASDAQ
PRCT,Stock,NASDAQ
PRME,Stock,NASDAQ
PRNT,ETF,
PRU,Stock,NYSE
PSA,Stock,NYSE
PSLV,Stock,
PSNL,Stock,NASDAQ
PSTG,Stock,NYSE
PSTI,Stock,
PSX,Stock,NYSE
PTC,Stock,NASDAQ
PYPL,Stock,NASDAQ
QBTS,Stock,NYSE
QCOM,Stock,NASDAQ
QMCU,Stock,
QQQ,ETF,
QQQI,ETF,
QRVO,Stock,NASDAQ
QS,Stock,NASDAQ
QTUM,ETF,
QUBT,Stock,NASDAQ
RACE,Stock,NYSE
RAYS,ETF,
RBLX,Stock,NYSE
RBOT,Stock,NYSE
RBRK,Stock,NYSE
RCAT,Stock,NASDAQ
RDDT,Stock,NYSE
RDW,Stock,NYSE
REGN,Stock,NASDAQ
RELX,Stock,NYSE
RGEN,Stock,NASDAQ
RGNX,Stock,NASDAQ
RGTI,Stock,NASDAQ
RIO,Stock,NYSE
RIOT,Stock,NASDAQ
RIVN,Stock,NASDAQ
RKLB,Stock,NASDAQ
RKT,Stock,NYSE
RLAY,Stock,NASDAQ
RMAX,Stock,NYSE
RMBS,Stock,NASDAQ
RMD,Stock,NYSE
RNA,Stock,NASDAQ
ROBO,ETF,
ROK,Stock,NYSE
ROL,Stock,NYSE
ROOT,Stock,NASDAQ
ROP,Stock,NASDAQ
RPRX,Stock,NASDAQ
RR,Stock,NASDAQ
RSKD,Stock,NYSE
RTX,Stock,NYSE
RUN,Stock,NASDAQ
RXRX,Stock,NASDAQ
RY,Stock,NYSE
S,Stock,NYSE
SAN,Stock,NYSE
SANA,Stock,NASDAQ
SAP,Stock,NYSE
SATS,Stock,NASDAQ
SBLK,Stock,NASDAQ
SBUX,Stock,NASDAQ
SCHD,ETF,
SCHG,ETF,
SCHP,ETF,
SCHQ,ETF,
SCHW,ETF,
SD,Stock,NYSE
SDGR,Stock,NASDAQ
SDOW,ETF,
SE,Stock,NYSE
SEDG,Stock,NASDAQ
SERV,Stock,NASDAQ
SFTBY,Stock,
SGML,Stock,NASDAQ
SGMO,Stock,NASDAQ
SGOV,ETF,
SHOP,Stock,NASDAQ
SHW,Stock,NYSE
SIEGY,Stock,
SJM,Stock,NYSE
SKYT,Stock,NASDAQ
SLB,Stock,NYSE
SLDP,Stock,NASDAQ
SLG,Stock,NYSE
SLI,Stock,NYSEAMERICAN
SLVR,ETF,
SMCI,Stock,NASDAQ
SMH,ETF,
SMMT,Stock,NASDAQ
SMR,Stock,NYSE
SMTC,Stock,NASDAQ
SNAP,Stock,NYSE
SNGX,Stock,NASDAQ
SNOW,Stock,NYSE
SNPS,Stock,NASDAQ
SNTI,Stock,NASDAQ
SNY,Stock,NASDAQ
SO,Stock,NYSE
SOFI,Stock,NASDAQ
SONY,Stock,NYSE
SOUN,Stock,NASDAQ
SOXL,ETF,
SOXS,ETF,
SPGI,Stock,NYSE
SPWR,Stock,NASDAQ
SPXS,ETF,
SPY,ETF,
SPYI,ETF,
SQM,Stock,NYSE
SQQQ,ETF,
SRFM,Stock,NYSE
SRPT,Stock,NASDAQ
SRRK,Stock,NASDAQ
SSYS,Stock,NASDAQ
STCE,ETF,
STEM,Stock,NYSE
STGW,Stock,NASDAQ
STLA,Stock,NYSE
STM,Stock,NYSE
STNE,Stock,NASDAQ
STX,Stock,NASDAQ
STZ,Stock,NYSE
SU,Stock,NYSE
SVXY,ETF,
SWK,Stock,NYSE
SWKS,Stock,NASDAQ
SYK,Stock,NYSE
SYM,Stock,NASDAQ
SYNA,Stock,NASDAQ
T,Stock,NYSE
TAN,ETF,
TATT,Stock,NASDAQ
TCEHY,Stock,
TD,Stock,NYSE
TDY,Stock,NYSE
TEAM,Stock,NASDAQ
TEL,Stock,NYSE
TELO,Stock,NASDAQ
TEM,Stock,NASDAQ
TENB,Stock,NASDAQ
TEO,Stock,NYSE
TER,Stock,NASDAQ
TEVA,Stock,NYSE
TFC,Stock,NYSE
TGT,Stock,NYSE
THC,Stock,NYSE
THD,ETF,
TIP,ETF,
TLT,ETF,
TLV:ELWS,Stock,
TM,Stock,NYSE
TMC,Stock,NASDAQ
TMF,ETF,
TMO,Stock,NYSE
TMUS,Stock,NASDAQ
TOST,Stock,NYSE
TPL,Stock,NYSE
TQQQ,ETF,
TREX,Stock,NYSE
TRMB,Stock,NASDAQ
TROX,Stock,NYSE
TRP,Stock,NYSE
TSEM,Stock,NASDAQ
TSLA,Stock,NASDAQ
TSLL,ETF,
TSLZ,ETF,
TSM,Stock,NYSE
TSNDF,Stock,
TSYY,ETF,
TTD,Stock,NASDAQ
TTE,Stock,NYSE
TTWO,Stock,NASDAQ
TUR,ETF,
TWST,Stock,NASDAQ
TXG,Stock,NASDAQ
TXN,Stock,NASDAQ
U,Stock,NYSE
UAVE,Stock,
UBER,Stock,NYSE
UBX,Stock,
UEC,Stock,NYSEAMERICAN
UHS,Stock,NYSE
UL,Stock,NYSE
ULTY,ETF,
UMAC,Stock,NYSEAMERICAN
UNH,Stock,NYSE
UNHG,ETF,
UNP,Stock,NYSE
UPS,Stock,NYSE
UPST,Stock,NASDAQ
URA,ETF,
USB,Stock,NYSE
UTHR,Stock,NASDAQ
UVIX,ETF,
UVXY,ETF,
V,Stock,NYSE
VALE,Stock,NYSE
VB,ETF,
VCEL,Stock,NASDAQ
VCYT,Stock,NASDAQ
VECO,Stock,NASDAQ
VEEV,Stock,NYSE
VEOEY,Stock,
VERA,Stock,NASDAQ
VERI,Stock,NASDAQ
VERS,ETF,
VERV,Stock,
VFC,Stock,NYSE
VGLT,ETF,
VIG,ETF,
VIOV,ETF,
VIST,Stock,NYSE
VIXY,ETF,
VKTX,Stock,NASDAQ
VLO,Stock,NYSE
VLTO,Stock,NYSE
VNM,ETF,
VNOM,Stock,NASDAQ
VNQ,ETF,
VOO,ETF,
VOOG,ETF,
VOOV,ETF,
VRAR,Stock,
VRNS,Stock,NASDAQ
VRT,Stock,NYSE
VRTX,Stock,NASDAQ
VSAT,Stock,NASDAQ
VSEC,Stock,NASDAQ
VST,Stock,NYSE
VT,ETF,
VTRS,Stock,NASDAQ
VUG,ETF,
VUZI,Stock,NASDAQ
VWO,ETF,
VXUS,ETF,
VXX,ETF,
VYM,ETF,
VYMI,ETF,
VZ,Stock,NYSE
WATT,Stock,NASDAQ
WB,Stock,NASDAQ
WEAT,ETF,
WELL,Stock,NYSE
WFC,Stock,NYSE
WLK,Stock,NYSE
WLKP,Stock,NYSE
WM,Stock,NYSE
WMB,Stock,NYSE
WMT,Stock,NASDAQ
WOLF,Stock,NYSE
WPP,Stock,NYSE
WSM,Stock,NYSE
WULF,Stock,NASDAQ
WVE,Stock,NASDAQ
XAIX,ETF,
XBI,ETF,
XDAT,ETF,
XENE,Stock,NASDAQ
XIACF,Stock,
XLB,ETF,
XLE,ETF,
XLF,ETF,
XLU,ETF,
XLV,ETF,
XMTR,Stock,NASDAQ
XOM,Stock,NYSE
XOP,ETF,
XPEV,Stock,NYSE
XPON,Stock,NASDAQ
XYL,Stock,NYSE
XYZ,Stock,NYSE
YANG,ETF,
YCL,ETF,
YMAX,ETF,
YPF,Stock,NYSE
Z,Stock,NASDAQ
ZBRA,Stock,NASDAQ
ZETA,Stock,NYSE
ZLAB,Stock,NASDAQ
ZS,Stock,NASDAQ
ZSPC,Stock,NASDAQ
ZTS,Stock,NYSE
RYN,Stock,NYSE
WY,Stock,NYSE
LPX,Stock,NYSE

